name;coalicion;condicion;partido;estado_legal
Jose Leonardo Prat Quevedo; MUD; Principal;LCR;no imposibilitado
Addy Coromoto Valero Velandria; MUD; Principal;AD;no imposibilitado
Williams Daniel Davila Barrios; MUD; Principal;AD;no imposibilitado
Williams Alexander Gil Linares; MUD; Principal;CC;no imposibilitado
Alfonso Jose Marquina Díaz; MUD; Principal;PJ;no imposibilitado
Adriana María D'elia Briceño; MUD; Principal;PJ;exilio
Américo Giuseppe De Grazia Veltri; MUD; Principal;LCR;asilo
Amelia Geraldine Belisario Socorro; MUD; Principal;idependiente;no imposibilitado
William Barrientos; MUD; Principal;UNT;no imposibilitado
Andrés Eloy Camejo Espinoza; MUD; Principal;AD;no imposibilitado
Angel Antonio Medina Devis; MUD; Principal;PJ;no imposibilitado
Tobias Rafael Bolivar Parra; MUD; Principal;AD;no imposibilitado
Virgilio Ferrer Brujes; MUD; Principal;UNT;no imposibilitado
Angel Luis Alvarez Gil; MUD; Principal;VP;no imposibilitado
Tomas Ignacio Guanipa Villalobos; MUD; Principal;PJ;no imposibilitado
Antonio Troconiz Avilio; MUD; Principal;PJ;no imposibilitado
Timoteo Zambrano Guedez;CONCERTACION; Principal;CMC;no imposibilitado
Sonia Andreina Medina Guerrero; MUD; Principal;VP;exilio
Teodoro Felipe Campos Rodríguez; MUD; Principal;idependiente;no imposibilitado
Romny Oscar Flores Figueredo; MUD; Principal;AD;no imposibilitado
Sergio Vergara Gonzalez; MUD; Principal;VP;exilio
Romel Edgardo Guzamana; MUD; Principal;idependiente;desinrcorporado
Robert Jose Alcala Arellan; MUD; Principal;AD;no imposibilitado
Richard Eloy Arteaga Blakma; MUD; Principal;VP;no imposibilitado
Armando Armas Cuartin; MUD; Principal;VP;no imposibilitado
Richard Jose Blanco Cabrera; MUD; Principal;;exilio
Biagio Pilieri Gianninoto;16-J; Principal;Convergencia;no imposibilitado
Rafael David Guzmán Reverón; MUD; Principal;PJ;exilio
Bolivia Milagros Suárez Lucena; MUD; Principal;LCR;no imposibilitado
Pierre Aoueiss Maroun; MUD; Principal;AD;no imposibilitado
Carlos Alberto Lozano Parra; MUD; Principal;CAMINA;no imposibilitado
Carlos Alberto Paparoni Ramirez; MUD; Principal;PJ ;clandestinidad
Orlando Jose Avila Guerra; MUD; Principal;UNT;no imposibilitado
Carlos Andres Gonzalez Salinas; MUD; Principal;AD;no imposibilitado
Carlos Eduardo Berrizbeitia Giliberti; MUD; Principal;PRVZL;no imposibilitado
Carlos Andres Michelangeli Armas; MUD; Principal;AD;no imposibilitado
Omar Barboza; MUD; Principal;UNT;no imposibilitado
Carlos Modesto Prosperi Manuitt; MUD; Principal;AD;no imposibilitado
Olivia Yaneth Lozano Uzeche; MUD; Principal;VP;no imposibilitado
Nora Cecilia Bracho Parra; MUD; Principal;UNT;no imposibilitado
Chaim Jose Bucarán Paraguan; MUD; Principal;PROCIUDADANO;no imposibilitado
Conrado Antonio Perez Linares; MUD; Principal;PJ;no imposibilitado
D'lsa Jenniffer Solórzano Bernal; MUD; Principal;EC;no imposibilitado
Milagros Susana Sanchez Eulate; MUD; Principal;AD;no imposibilitado
Milagros De Jesús Paz Fuenmayor; MUD; Principal;PJ;no imposibilitado
Milagro Valero; MUD; Principal;PJ;exilio
Dennis Yuramis Fernández Solórzano; MUD; Principal;AD;no imposibilitado
Miguel Alejandro Pizarro Rodriguez; MUD; Principal;PJ ;exilio
Melva Matucha Paredes Fischer;CONCERTACION; Principal;CMC;no imposibilitado
Mauglimar Baloa; MUD; Principal;MPV;exilio
Mariela Magallanes; MUD; Principal;LCR;asilo
Dinorah Jaxilda Figuera Tovar; MUD; Principal;PJ;exilio
Edgar José Zambrano Ramírez; MUD; Principal;AD;no imposibilitado
Elias Matta Wehbe; MUD; Principal;UNT;no imposibilitado
Marialbert Juliana Barrios Slother; MUD; Principal;PJ;no imposibilitado
Eliezer Ramón Sirit; MUD; Principal;AD;no imposibilitado
Elimar Carolina Diaz Garcia; MUD; Principal;PJ;no imposibilitado
Maria Teresa Perez Gonzalez;CONCERTACION; Principal;AP;no imposibilitado
Enrique Márquez; MUD; Principal;UNT;no imposibilitado
Maria Hernández Del Castillo; MUD; Principal;PJ;no imposibilitado
Ezequiel Eligio Pérez Roa; MUD; Principal;AD;no imposibilitado
Marco Antonio Bozo Tamayo; MUD; Principal;PJ;no imposibilitado
Francisco Jose Sucre Giffuni; MUD; Principal;VP;no imposibilitado
María Beatriz Martinez Riera; MUD; Principal;PJ;no imposibilitado
Franklyn Leonardo Duarte; MUD; Principal;COPEI;no imposibilitado
Freddy Alejandro Guevara Cortez; MUD; Principal;VP;asilo
Freddy Francisco Superlano Salinas; MUD; Principal;VP;exilio
Luis Emilio Rondon Hernandez; MUD; Principal;UNT;no imposibilitado
Freddy Rafael Valera Medina; MUD; Principal;AD;no imposibilitado
Freddy Segundo Paz Mendoza; MUD; Principal;UNT;no imposibilitado
Gaby Andreina Arellano; MUD; Principal;VP;exilio
Gian Luis Lippa Preziosi; MUD; Principal;PJ;no imposibilitado
Luis Eduardo Parra Rivero; MUD; Principal;PJ;no imposibilitado
Luis Carlos Padilla Villalba; MUD; Principal;AD;no imposibilitado
Maribel Guédez;CONCERTACION; Principal;CMC;no imposibilitado
Luis Aquiles Moreno Cirimele; MUD; Principal;AD;no imposibilitado
Gladys Guaipo De García; MUD; Principal;AD;no imposibilitado
Goncalves Ylidio De Abreu; MUD; Principal;UNT;no imposibilitado
Gregorio Segundo Graterol Roque; MUD; Principal;PJ;no imposibilitado
Héctor Enrique Cordero Rodríguez; MUD; Principal;UNT;no imposibilitado
Luis Alberto Silva Alacayo; MUD; Principal;AD;no imposibilitado
Luis Stefanelli Barjacoba; MUD; Principal;VP;no imposibilitado
Luis Florido Barreto; MUD; Principal;idependiente;exilio
Henry Lisandro Ramos Allup; MUD; Principal;AD;no imposibilitado
Hernan Claret Aleman Perez; MUD; Principal;AD;no imposibilitado
Ismael Garcia; MUD; Principal;VP;exilio
Iván Stalin González Montaño; MUD; Principal;UNT;no imposibilitado
Karin Arieta Salanova Rueda; MUD; Principal;VP;no imposibilitado
